"term","count"
"buy them from",1
"do you still",1
"for nytm i",1
"from you thanks",1
"have tix for",1
"hi do you",1
"i would love",1
"love to buy",1
"nytm i would",1
"still have tix",1
"them from you",1
"tix for nytm",1
"to buy them",1
"would love to",1
"you still have",1
"hurts a little",1
"my tummy hurts",1
"tummy hurts a",1
"a problem with",1
"back from vacation",1
"back to firefox",1
"better than wait",1
"chrome everything it",1
"chrome today it",1
"crashing event thought",1
"event thought with",1
"everyone penang uncle",1
"everything it crash",1
"firefox now it",1
"firefox than restarting",1
"from vacation i",1
"google chrome today",1
"have a problem",1
"hi everyone penang",1
"i have a",1
"i switch back",1
"is back from",1
"is better than",1
"it crash sigh",1
"it is better",1
"it keep on",1
"just less than",1
"keep on crashing",1
"less than tabs",1
"now it is",1
"on crashing event",1
"penang uncle is",1
"problem with google",1
"restarting chrome everything",1
"slowly with firefox",1
"so i switch",1
"switch back to",1
"tabs so i",1
"than restarting chrome",1
"than tabs so",1
"than wait slowly",1
"thought with just",1
"to firefox now",1
"today it keep",1
"uncle is back",1
"vacation i have",1
"wait slowly with",1
"with firefox than",1
"with google chrome",1
"with just less",1
"for my healthy",1
"give thanks for",1
"healthy whole body",1
"i give thanks",1
"my healthy whole",1
"thanks for my",1
"a child does",1
"a level of",1
"a particular supply",1
"access to it",1
"an environment that",1
"and posters can",1
"are familiar to",1
"are going to",1
"at home that",1
"books and posters",1
"by encouraging them",1
"can create an",1
"can draw them",1
"can enhance their",1
"child does not",1
"children who are",1
"classroom simple books",1
"closer to a",1
"create an environment",1
"does having access",1
"does not know",1
"draw them closer",1
"education by encouraging",1
"encouraging them to",1
"enhance their education",1
"environment that triggers",1
"even if a",1
"even while not",1
"familiar to children",1
"going to school",1
"having access to",1
"home that are",1
"if a child",1
"in the classroom",1
"it can draw",1
"keeping supplies at",1
"know what a",1
"learn even while",1
"level of understanding",1
"not in the",1
"not know what",1
"of understanding that",1
"or tool does",1
"particular supply or",1
"posters can create",1
"school can enhance",1
"serve them well",1
"simple books and",1
"supplies at home",1
"supply or tool",1
"that are familiar",1
"that triggers thinking",1
"that will serve",1
"the classroom simple",1
"their education by",1
"them closer to",1
"them to learn",1
"them well in",1
"thinking even if",1
"to a level",1
"to children who",1
"to it can",1
"to learn even",1
"to school can",1
"tool does having",1
"triggers thinking even",1
"understanding that will",1
"well in class",1
"what a particular",1
"while not in",1
"who are going",1
"will serve them",1
"been for real",1
"for real though",1
"gary been for",1
"has gary been",1
"is where has",1
"my question is",1
"question is where",1
"where has gary",1
"a star studded",1
"and designers unveiling",1
"be referring to",1
"broadcast live from",1
"celebrities stylists and",1
"designers unveiling some",1
"from soho with",1
"hottest ready to",1
"is scheduled to",1
"lineup of celebrities",1
"live from soho",1
"looks they must",1
